title,seg
PS5 日本銷量暴減四成，8 週來首輸 Switch,"['PS5', '銷量', '暴減', '週來', '首輸', 'Switch', '四成']"
印度官員：台積電、英特爾、三星都有興趣到印度投資設廠,"['官員', '興趣', '設廠', '印度', '英特']"
中華電響應「Earth Hour 關燈 1 小時」，全台近 700 間門市同步呼應,"['中華電響', 'Earth', 'Hour', '關燈', '小時', '700', '間門市', '呼應', '全台', '同步']"
打回 1947，俄軍開始將 T-54 戰車送往烏克蘭前線,"['1947', '俄軍開', '始將', '54', '戰車', '烏克蘭', '前線', '送往']"
印度 IT 是 India＋Taiwan！劉揚偉：台灣一定要把握機會,"['India', 'Taiwan', '劉揚偉', '機會', '把握', '印度', '一定']"
台積電人才願景首度公開，跨國人才管理是巨大挑戰,"['人才', '願景', '公開', '跨國', '挑戰', '首度', '巨大', '管理']"
真菌禍害敲警鐘，科學家稱暖化讓真菌加速突變,"['真菌', '禍害', '警鐘', '科學家', '稱暖化', '突變', '加速']"
"普發現金登記入帳，小孩怎麼領這 6,000 元？","['普發', '登記', '入帳', '怎麼領', '000', '小孩']"
不怕打消庫存、美光股價彈，外資：記憶體將落底,"['美光', '庫存', '股價彈', '外資', '記憶', '體將', '落底', '打消', '不怕']"
太陽表面出現日冕「大洞」，預計引發 G2 級地磁風暴,"['太陽', '出現', '預計', '引發', 'G2', '風暴', '日冕', '地磁', '大洞', '表面']"
入職 2 個月晉升 TikTok 執行長，獨扛國會猛烈砲火的周受資是誰？,"['入職', '晉升', 'TikTok', '執行長', '國會', '周受', '資是', '猛烈']"
科技業寒冬還沒到頭，埃森哲將砍 1.9 萬人,"['埃森哲', '還沒到頭', '將砍', '1.9', '寒冬', '科技']"
人工智慧開始工作，ChatGPT 官方外掛可訂機票、食材,"['人工智慧', '開始', 'ChatGPT', '外掛', '可訂', '機票', '食材', '官方', '工作']"
三星李在鎔 4 月赴美會見 Lucid 高層，討論電池供應,"['李在', '會見', 'Lucid', '高層', '討論', '電池', '供應', '赴美']"
Arm 傳漲價改商模，為哪齣？真的可行？,"['Arm', '傳漲', '價改', '商模', '可行', '真的']"
東芝逆衝 5%，接受日企聯盟收購提案、總額 2 兆日圓,"['東芝逆衝', '5%', '企聯盟', '收購', '總額', '日圓', '提案', '接受']"
郭明錤：Power Integrations 為蘋果 20W USB-C 充電器晶片獨家供應商,"['Power', 'Integrations', '20W', 'USB', '充電器', '獨家供', '應商', '晶片']"
二十年來未有的大挑戰，光陽還能重回冠軍寶座嗎？,"['挑戰', '光陽', '還能', '冠軍寶座', '重回', '未有', '二十年']"
Google 前員工組新創攻 AI 聊天機器人，創投大咖注資,"['Google', '前員工', '組新', '創攻', 'AI', '機器人', '創投大', '咖注資', '聊天']"
全球貿易熄火，唯獨電動車、風機貿易逆勢成長,"['貿易', '唯獨', '電動車', '風機', '逆勢', '成長', '熄火']"
美國將 14 家中企列入未經核實清單，出口商發貨前須審慎調查,"['美國將', '14', '未經', '核實', '清單', '發貨', '前須', '審慎', '調查', '出口商', '列入', '家中']"
戴琪：與中國貿易對話持開放態度，目標捍衛美利益,"['戴琪', '貿易', '對話持', '開放態度', '目標', '捍衛美', '利益']"
從瑞薩看車用半導體市場,"['從瑞薩', '看車', '半導體']"
東研信超上櫃首日大漲 36%！中籤可望獲利 2.49 萬元入袋,"['東研', '信超', '上櫃', '大漲', '36%', '獲利', '2.49', '萬元', '入袋', '可望']"
中國 3 月 86 款遊戲獲批，版號發放數量／頻率趨穩定,"['86', '款遊戲', '獲批', '版號', '發放', '頻率', '穩定']"
頂多是白領助理，比爾蓋茲：AI 對工作影響沒那麼戲劇化,"['頂多', '白領', '比爾蓋茲', 'AI', '影響', '那麼', '戲劇化', '助理', '工作']"
中國伸腳？英特爾收購高塔半導體將無法如期完成,"['伸腳', '收購', '半導體', '將無法', '英特', '如期完成', '高塔']"
寒流還沒結束，「景氣風向球」沃爾瑪出手裁員,"['還沒', '結束', '景氣', '風向球', '沃爾瑪', '裁員', '寒流', '出手']"
記憶體兩樣情，外資看好 NAND 與 Nor 表現，對矽晶圓與設備較保守,"['記憶體', '兩樣', '外資', 'NAND', 'Nor', '表現', '矽晶圓', '設備', '保守', '看好']"
福特警告今年電動車事業恐虧 30 億美元，股價小跌,"['電動車', '事業', '恐虧', '30', '股價', '小跌', '福特']"
歸類為 ChatGPT 概念股狂飆！外資喊買宜鼎目標價 332 元,"['歸類', 'ChatGPT', '狂飆', '外資', '宜鼎目', '標價', '332', '概念股']"
華為推新款旗艦機，打破出售手機業務傳言,"['華為', '旗艦機', '手機業務', '傳言', '新款', '打破', '出售']"
輝達市值超車波克夏，黃仁勳：摩爾定律已死有解,"['輝達', '超車', '波克夏', '仁勳', '摩爾', '已死', '有解', '定律', '市值']"
京東方生產出包？傳蘋果向三星追加 iPhone 14 OLED 訂單,"['方生', '京東', '產出', '傳蘋果', 'iPhone', '14', 'OLED', '訂單', '追加']"
抓到了！逃亡 10 個月，Terra 創辦人 Do Kwon 終於落網,"['Terra', '創辦', 'Do', 'Kwon', '終於落網', '抓到', '逃亡']"
國會聽證激烈交鋒，TikTok 未化解生存危機,"['國會', '聽證', '交鋒', 'TikTok', '化解', '生存', '激烈']"
缺水進入假死狀態的水熊蟲，隱藏儲存生物製劑另類潛力,"['假死', '進入', '狀態', '水熊蟲', '隱藏', '儲存', '缺水', '生物']"
日本 323 起放寬出口管制，韓擬讓日重返「白色國家」,"['323', '起放', '韓擬', '國家', '重返', '管制', '白色']"
楊金龍「適度緊縮」鴿派升息，半碼決策 9 問答一次看,"['楊金龍', '適度', '緊縮', '鴿派', '半碼', '決策', '問答', '升息', '一次']"
ChatGPT 洩漏他人對話紀錄，OpenAI 坦承錯誤並修正,"['ChatGPT', '洩漏', '對話', '紀錄', 'OpenAI', '誤並', '坦承', '修正', '他人']"
金管會：180 名財管及複委託客戶，踩雷瑞信 AT1 逾 18 億,"['金管會', '180', '名財管', '客戶', '雷瑞信', 'AT1', '18']"
Telegram「截圖釣魚」詐騙肆虐！如何設定 2FA 雙重驗證、被盜怎麼辦？,"['Telegram', '截圖', '釣魚', '詐騙', '設定', '2FA', '雙重驗證', '怎麼', '肆虐']"
ChatGPT 嚴重衝擊 19% 工作，OpenAI：收入越高影響越大,"['ChatGPT', '嚴重', '19%', 'OpenAI', '影響', '越高', '越大', '收入', '工作']"
ChatGPT 嚴重衝擊 19% 工作，OpenAI：收入越高影響越大,"['ChatGPT', '嚴重', '19%', 'OpenAI', '影響', '越高', '越大', '收入', '工作']"
顛覆想像，德國修道院士推出沖泡式零酒精「啤酒粉」,"['顛覆', '德國', '泡式', '修道院', '想像', '酒精', '啤酒', '推出']"
法拉利系統遭入侵，客戶資料被盜,"['系統', '客戶', '資料', '法拉利', '入侵']"
台灣飛彈實力絕對有全球前三！不投資「邪惡產業」的挪威主權基金為何大買台灣軍工股？,"['飛彈', '絕對', '惡產業', '主權', '何大買', '軍工股', '挪威', '基金']"
興登堡做空支付公司 Block，股價暴跌近 15%,"['做空', 'Block', '股價', '15%', '登堡', '暴跌', '支付', '公司']"
醫療行政負荷大解放！微軟子公司推出整合 GPT-4 的門診內容自動轉寫技術,"['醫療', '負荷', '微軟', 'GPT', '門診', '內容', '自動', '轉寫', '技術', '解放', '子公司', '整合', '行政', '推出']"
大腦與電腦結合！科學家用 8 萬個鼠腦細胞建構「活體電腦」,"['電腦', '大腦', '結合', '科學', '萬個', '鼠腦', '細胞', '建構', '活體', '家用']"
AT&S 調整馬來西亞廠投資計畫，ABF 載板長期需求面臨下修,"['調整', '西亞廠', 'ABF', '載板長', '臨下', '需求面']"
Gogoro 與 foodpanda 合作，於新加坡推行電動機車換電系統,"['Gogoro', 'foodpanda', '電動', '機車換', '電系統', '新加坡', '推行', '合作']"
團隊協作新想像，微軟推出激似 Notion 新工具,"['團隊', '協作', '微軟', '激似', 'Notion', '想像', '工具', '推出']"
看好生成式 AI 潛力，中華電有望從客戶服務切入應用,"['生成式', 'AI', '潛力', '中華電', '客戶', '服務', '應用', '切入', '看好', '有望']"
童子賢：AI 還在中學階段未成熟，取代哪些產業不可知,"['AI', '還在', '中學階段', '未成熟', '童子', '可知', '哪些', '取代']"
全球首枚 3D 列印火箭成功發射，惜未進入軌道,"['列印', '首枚', '3D', '發射', '進入', '軌道', '火箭', '成功']"
意外偏「鷹」連五升！央行總裁楊金龍宣布升息半碼,"['連五升', '總裁', '楊金龍', '半碼', '升息', '意外', '央行']"
數位轉型支持戴爾伺服器業績成長，全球裁員不影響市場發展,"['伺服器', '數位', '轉型', '戴爾', '業績', '成長', '裁員', '影響', '發展', '支持']"
全球首枚 3D 列印火箭成功發射，惜未進入軌道,"['列印', '首枚', '3D', '發射', '進入', '軌道', '火箭', '成功']"
意外偏「鷹」連五升！央行總裁楊金龍宣布升息半碼,"['連五升', '總裁', '楊金龍', '半碼', '升息', '意外', '央行']"
數位轉型支持戴爾伺服器業績成長，全球裁員不影響市場發展,"['伺服器', '數位', '轉型', '戴爾', '業績', '成長', '裁員', '影響', '發展', '支持']"
GitHub 推出支援 GPT-4 新版 Copilot，工程師動口就可開發程式,"['GitHub', 'GPT', 'Copilot', '師動口', '開發', '程式', '新版', '支援', '工程', '推出']"
Arm 傳打算大幅調高權利金，已知會聯發科、高通,"['利金', 'Arm', '調高權', '會聯', '發科', '高通', '已知', '打算', '大幅']"
瞄準醫療、智慧平台千億美元商機！睿生光電 327 以 70 元掛牌上市,"['瞄準', '醫療', '千億', '商機', '327', '70', '掛牌', '生光', '智慧', '平台', '上市']"
AI 繪圖太直譯引熱議，百度：文生圖會快速更新,"['文生', 'AI', '繪圖', '直譯', '引熱議', '圖會', '百度', '更新', '快速']"
半導體業不景氣，南韓驅動 IC 廠美格納縮減人力,"['半導', '體業', '不景氣', '南韓', '驅動', 'IC', '美格', '納縮減', '人力']"
動盪結束？傳東芝接受 JIP 約 2 兆日圓收購要約,"['動盪', '結束', '傳東芝', 'JIP', '圓收', '購要', '接受']"
Siegel：人們若重新信任銀行，比特幣將再次回落,"['Siegel', '人們', '比特幣', '信任', '回落', '再次', '重新']"
分析師看好電池類股成長空間高達 70%，但有三家要謹慎評估,"['電池類', '股成長', '空間', '高達', '70%', '謹慎', '三家', '看好']"
Fed 鴿式升息 1 碼符合預期！法人：台股逢低布局兩大類股,"['Fed', '鴿式', '預期', '股逢', '兩大類', '升息', '法人', '布局', '符合']"
政府信心喊話民眾仍憂，近 16 美國人火速轉移資金,"['喊話民眾', '16', '美國人', '轉移', '資金', '火速', '信心']"
鮑爾最艱難的決策！打通膨或穩金融 Fed 陷入拉鋸,"['鮑爾', '艱難', '決策', 'Fed', '打通', '陷入', '金融']"
外資：輝達搶得 AI 主導地位，將重塑科技業面貌,"['外資', '輝達', 'AI', '主導', '重塑', '面貌', '科技', '地位']"
全宇 2022 年每股賺 5.75 元！決議配發每股現金股利 2.5 元,"['全宇', '5.75', '決議', '2.5']"
經濟環保又能發電，新一代自我感測超材料混凝土登場,"['經濟', '環保', '發電', '感測', '登場', '混凝土', '新一代', '自我', '材料']"
蘋果加州自駕車隊司機人數增加，2 月試駕時發生碰撞,"['自駕車', '隊司', '機人數', '月試', '駕時', '發生', '加州', '碰撞', '增加']"
Luminar 今年大漲三成，高盛籲獲利了結，股價摔 14%,"['Luminar', '大漲', '籲獲利', '股價', '14%', '高盛', '三成']"
美運輸業對下半年不敢抱期待？零售、鐵路商喊苦,"['美運輸業', '鐵路', '商喊苦', '零售', '期待', '下半年', '不敢']"
更難處理雙重任務，哈佛研究：人類大腦 55 歲就開始衰老,"['更難', '處理雙', '人類', '大腦', '55', '開始', '哈佛', '衰老', '重任', '研究']"
重塑行銷工作流程，Adobe 推生成式 AI 服務 Sensei GenAI,"['AI', '生成式', '行銷', 'Adobe', '服務', 'Sensei', 'Gen', '重塑', '流程', '工作']"
潛力完全開發，大型強子對撞機證實首檢測到高能微中子,"['潛力', '開發', '強子', '機證', '實首', '檢測', '高能', '中子', '大型', '完全']"
熙特爾新能源聯手施耐德電機，打造一站式數位儲能節能方案,"['施耐德', '特爾', '聯手', '電機', '數位', '儲能', '節能', '一站式', '新能源']"
哪些算傳統晶片？美國商務部列出超嚴格規範,"['算傳統', '商務部', '超嚴格', '規範', '晶片', '列出', '哪些']"
使用 AI 訓練類人腦細胞，科學家：生物電腦可突破技術極限,"['AI', '訓練類', '人腦', '細胞', '科學家', '電腦', '技術', '極限', '生物', '突破', '使用']"
比 10 座足球場還大，住友橡膠打造 22MW 世界最大太陽能屋頂,"['場還大', '橡膠', '22MW', '太陽能', '屋頂', '住友', '足球', '世界']"
輝達黃仁勳看好 AI 成長力道，台積電等概念股揚升,"['輝達黃仁勳', 'AI', '成長', '台積', '電等', '揚升', '力道', '概念股', '看好']"
ChatGPT 擴充功能夾帶惡意外掛，竊取 Facebook 帳號,"['ChatGPT', '擴充', '夾帶', '竊取', 'Facebook', '帳號', '意外', '功能']"
憂與華為過度密切，德政府擬審查德國電信,"['華為', '過度', '擬審', '國電信', '查德', '密切']"
聯準會終端利率峰值將現！法人：美國百大債後市利好,"['聯準', '終端', '將現', '債後市', '百大', '峰值', '法人', '利好', '利率']"
葉倫無意為銀行存款提供全面擔保，美國中小型銀行不滿,"['葉倫無意', '擔保', '不滿', '中小型', '全面', '提供']"
晶片戰與審查制度夾擊，中國科技巨擘發展聊天機器人遇阻,"['戰與', '審查', '夾擊', '發展', '機器人', '晶片', '巨擘', '遇阻', '聊天', '科技', '制度']"
OpenAI 助攻、微軟 Bing 變夯，迎戰 Google,"['OpenAI', '微軟', 'Bing', '變夯', '迎戰', 'Google', '助攻']"
蘋果再度出手打擊遠距工作，追蹤員工出勤紀錄,"['打擊', '遠距', '紀錄', '出勤', '出手', '再度', '工作']"
下半年復甦力道不如預期，外資調降台積電、聯電、聯發科目標價,"['預期', '外資調', '降台', '積電', '聯電', '聯發', '標價', '力道', '科目', '下半年', '不如']"
雲端伺服器第二季庫存去化完！外資看好出貨同比個位數成長,"['伺服器', '雲端', '庫存', '去化', '外資', '出貨', '個位', '數成長', '第二季', '看好', '同比']"
LG 打入電動車新創 Lucid 供應鏈，生產 30 吋 OLED 面板,"['LG', '電動車', 'Lucid', '供應', '生產', '30', 'OLED', '面板', '打入']"
福特將改財報結構，投資人最關心電動車虧多少,"['將改', '財報', '結構', '投資人', '關心', '電動車', '福特', '多少']"
日本地價增幅 15 年來最大，台積電效應致菊陽町猛增,"['地價', '15', '年來', '台積', '電效', '應致', '菊陽', '猛增', '增幅']"
拆彈如火如荼，小摩 CEO 急赴華府會見白宮經濟高官,"['拆彈', '小摩', 'CEO', '華府', '白宮', '經濟', '如火如荼', '高官']"
疫後電腦設備需求降低，羅技全球重組裁員 300 人,"['疫後電腦', '設備', '重組', '裁員', '300', '降低']"
日本 10 年債殖利率升幅 2 個半月來最大，日圓彈升,"['債殖', '日圓彈', '升幅', '半月', '利率']"
美國證交會準備對 Coinbase 採取法律行動，股價大跌 22%,"['美國證', '交會', '準備', 'Coinbase', '採取', '行動', '股價', '22%', '大跌', '法律']"
地球的水從何而來？研究指不是來自熔化的隕石,"['何而來', '隕石', '熔化', '地球', '研究', '不是']"
