title,seg
富爸爸預言全中！瑞信被收購、黃金突破2000鎂…再砲轟聯準會「通膨大騙子」,"['預言', '全中', '瑞信', '收購', '2000', '轟聯', '準會', '騙子', '膨大', '爸爸', '突破']"
重磅》Do Kwon在南歐黑山被逮捕！10個月逃亡告終,"['Do', 'Kwon', '南歐', '告終', '重磅', '黑山', '逃亡', '逮捕']"
快訊》Arbitrum啟動空投！$ARB最高衝上14.8鎂，但用戶申領「塞爆當機」,"['快訊', 'Arbitrum', '啟動', 'ARB', '衝上', '14.8', '申領', '塞爆', '當機', '最高']"
交易所｜Bybit宣佈上線Arbitrum (ARB)代幣，40萬美元獎池待瓜分,"['Bybit', '上線', 'Arbitrum', 'ARB', '代幣', '40', '獎池', '瓜分']"
美元指數連6跌、Fed升息減緩，比特幣能上攻3萬鎂？,"['指數連', 'Fed', '減緩', '比特幣', '萬鎂', '升息', '上攻']"
香港勝利證券獲證監會批准「可買賣加密貨幣」，提供客戶投資組合,"['勝利', '證券', '獲證', '監會', '可買', '加密貨幣', '客戶', '組合', '批准', '香港', '提供']"
孫宇晨遭SEC突襲起訴！哪些孫哥系代幣岌岌可危？,"['孫宇晨', 'SEC', '突襲', '起訴', '孫哥', '系代幣', '岌岌可危', '哪些']"
2月NFT市場報告》Blur交易量狠甩OpenSea、Polygon成第二大交易鏈..,"['NFT', '報告', 'Blur', 'OpenSea', 'Polygon', '..', '交易量', '第二', '交易']"
Layer Zero全鏈生態整理：有哪些潛在的空投機會？,"['Layer', 'Zero', '全鏈', '生態', '潛在', '機會', '哪些', '整理']"
Arbitrum 反女巫機制大漏洞！近15萬地址逃過檢測，佔空投總量超20%,"['Arbitrum', '機制', '15', '逃過', '檢測', '總量', '20%', '女巫', '漏洞', '地址']"
"JPEX第二階段NFT｜YOBI 認購次數超25,000次，超額認購348%，申購逼近最終日","['JPEX', '階段', 'NFT', 'YOBI', '認購次', '數超', '25', '000', '超額', '認購', '348%', '申購', '最終', '逼近', '第二']"
快訊》幣安將於24日上線「Space ID 代幣 $ID」1-20倍U本位永續合約,"['ID', '快訊', '幣安將', '24', '上線', 'Space', '代幣', '20', '永續', '合約', '本位']"
全球首家銀行可提存USDC！Xapo Bank合作Circle：比SWIFT更快更便宜,"['提存', 'USDC', 'Xapo', 'Bank', 'Circle', 'SWIFT', '更快', '首家', '便宜', '合作']"
幫孫宇晨打廣告！SEC 追殺琳賽蘿涵等名人「非法兜售TRX、BTT」,"['幫孫宇晨', '打廣告', 'SEC', '追殺琳', '賽蘿涵', 'TRX', 'BTT', '兜售', '名人', '非法']"
ChatGPT 通過 Google 三級工程師面試，年薪破 500 萬台幣！,"['ChatGPT', '通過', 'Google', '三級', '師面試', '500', '萬台幣', '年薪', '工程']"
FTX受害者必讀》10年交易所維權經驗的Tom告訴你：該自己請律師？要等多久？Steaker疑點？,"['FTX', '必讀', '維權', '經驗', 'Tom', '告訴', '請律師', 'Steaker', '疑點', '受害者', '多久', '自己']"
富爸爸預言全中！瑞信被收購、黃金突破2000鎂…再砲轟聯準會「通膨大騙子」,"['預言', '全中', '瑞信', '收購', '2000', '轟聯', '準會', '騙子', '膨大', '爸爸', '突破']"
重磅》Do Kwon在南歐黑山被逮捕！10個月逃亡告終,"['Do', 'Kwon', '南歐', '告終', '重磅', '黑山', '逃亡', '逮捕']"
快訊》Arbitrum啟動空投！$ARB最高衝上14.8鎂，但用戶申領「塞爆當機」,"['快訊', 'Arbitrum', '啟動', 'ARB', '衝上', '14.8', '申領', '塞爆', '當機', '最高']"
交易所｜Bybit宣佈上線Arbitrum (ARB)代幣，40萬美元獎池待瓜分,"['Bybit', '上線', 'Arbitrum', 'ARB', '代幣', '40', '獎池', '瓜分']"
"幣安 IEO｜Space ID 募得28.6億美元！$ID 一度暴漲 10,000%","['ID', '幣安', 'IEO', 'Space', '28.6', '暴漲', '000%', '募得', '一度']"
雪崩Avalanche「停止出塊」逾1小時！官方：節點升級不穩，現已完成修復,"['Avalanche', '出塊', '小時', '節點', '升級', '不穩', '現已', '雪崩', '官方', '停止', '完成']"
快訊》孫宇晨：SEC起訴我「是刻意打擊區塊鏈名人」，缺乏證據！,"['快訊', '孫宇晨', 'SEC', '起訴', '打擊', '區塊鏈', '證據', '刻意', '名人', '缺乏']"
FTX好消息！Modulo Capital將退還Alameda的4億美元投資、放棄索賠權,"['FTX', 'Modulo', 'Capital', '將退還', 'Alameda', '放棄', '好消息']"
Fed再升息1碼》BTC 一度跌穿27000、ETH 力守1700！鮑爾：今年不會降息,"['Fed', 'BTC', '27000', 'ETH', '力守', '1700', '鮑爾', '不會', '跌穿', '降息', '升息', '一度']"
快訊》Telegram 上線「在聊天中傳送 USDT」，@wallet 錢包機器人已支援BTC、TON,"['快訊', 'Telegram', '上線', '中傳', 'USDT', 'wallet', '錢包', '機器人', 'BTC', 'TON', '聊天', '支援']"
女股神高點脫手！方舟9個月來首賣Coinbase股票，套現1350萬美元,"['女股', '神高點', '脫手', '首賣', 'Coinbase', '套現', '1350', '方舟', '股票']"
本土交易所｜HOYA BIT 扎根台灣放眼全球，提供加密新手友善體驗,"['HOYA', 'BIT', '體驗', '新手', '加密', '扎根', '友善', '放眼', '本土', '提供']"
埋伏 Meta 系公鏈 SUI 與 Arbitrum》Bitget 推出 SUIBG 空投、充值 ARB 獎池,"['Meta', '系公鏈', 'SUI', 'Arbitrum', 'Bitget', 'SUIBG', 'ARB', '獎池', '充值', '埋伏', '推出']"
快訊》檢察官要求美國議員「吐回SBF政治獻金」！賠償FTX受害者,"['快訊', '檢察官', '議員', '吐回', 'SBF', '獻金', '賠償', 'FTX', '受害者', '政治', '要求']"
ChatGPT 通過 Google 三級工程師面試，年薪破 500 萬台幣！,"['ChatGPT', '通過', 'Google', '三級', '師面試', '500', '萬台幣', '年薪', '工程']"
FTX受害者必讀》10年交易所維權經驗的Tom告訴你：該自己請律師？要等多久？Steaker疑點？,"['FTX', '必讀', '維權', '經驗', 'Tom', '告訴', '請律師', 'Steaker', '疑點', '受害者', '多久', '自己']"
富爸爸預言全中！瑞信被收購、黃金突破2000鎂…再砲轟聯準會「通膨大騙子」,"['預言', '全中', '瑞信', '收購', '2000', '轟聯', '準會', '騙子', '膨大', '爸爸', '突破']"
重磅》Do Kwon在南歐黑山被逮捕！10個月逃亡告終,"['Do', 'Kwon', '南歐', '告終', '重磅', '黑山', '逃亡', '逮捕']"
快訊》Arbitrum啟動空投！$ARB最高衝上14.8鎂，但用戶申領「塞爆當機」,"['快訊', 'Arbitrum', '啟動', 'ARB', '衝上', '14.8', '申領', '塞爆', '當機', '最高']"
交易所｜Bybit宣佈上線Arbitrum (ARB)代幣，40萬美元獎池待瓜分,"['Bybit', '上線', 'Arbitrum', 'ARB', '代幣', '40', '獎池', '瓜分']"
ChatGPT 檢查程式碼大失誤！Coinbase：多次忽略高風險BUG，無法取代人工,"['ChatGPT', '檢查', '碼大', '失誤', 'Coinbase', '高風險', 'BUG', '無法', '程式', '忽略', '人工', '取代', '多次']"
L2擴容｜Immutable合作Polygon推zkEVM卻「爆內線交易」！$IMX跌超13％,"['L2', '擴容', 'Immutable', 'Polygon', 'zkEVM', '爆內線', 'IMX', '跌超', '13', '合作', '交易']"
"交易所｜Bybit：在 USDC 脫鉤期間交易量激增 1,437%，平台依舊穩定","['Bybit', 'USDC', '脫鉤', '期間', '437%', '依舊', '穩定', '激增', '交易量', '平台']"
Glassnode：比特幣正處於「突破熊市」關鍵拐點！創歷史最佳單週表現,"['Glassnode', '比特幣', '正處', '關鍵', '拐點', '創歷史', '單週表現', '熊市', '最佳', '突破']"
徐明星：OKB Chain 定位為「以太坊 ZK 系 Layer2 區塊鏈」，測試網將上線,"['OKB', 'Chain', 'ZK', 'Layer2', '區塊鏈', '測試', '網將', '上線', '以太', '定位', '明星']"
Arbitrum空投在即，如何為$ARB代幣估值？,"['Arbitrum', 'ARB', '代幣', '估值']"
V神遭設局「燒毀400兆枚柴犬幣」，提案鬼才承認：創造$SHIB前就想利用Vitalik burn,"['神遭', '設局', '燒毀', '400', '柴犬幣', '承認', '創造', 'SHIB', 'Vitalik', 'burn', '鬼才', '提案', '利用']"
Web3工作多難應徵？幣安CZ列出 「9大拒錄取條件」：草莓族別來，幣圈壓力大,"['Web3', '多難', '應徵', '幣安', 'CZ', '大拒', '錄取', '條件', '別來', '幣圈', '壓力', '草莓', '列出', '工作']"
交易所｜Bitget 即將上架 DeFi 協議 IPOR，將 DeFi 新添 TradFi 衍生品魅力,"['DeFi', 'Bitget', '即將', '協議', 'IPO', 'TradFi', '新添', '上架', '衍生品', '魅力']"
美國破產團隊提告 FTX 巴哈馬！痛罵是「SBF洗錢空殼」、沒資格提索賠,"['破產團隊', '提告', 'FTX', '痛罵', 'SBF', '洗錢', '空殼', '沒資格', '巴哈']"
ChatGPT 通過 Google 三級工程師面試，年薪破 500 萬台幣！,"['ChatGPT', '通過', 'Google', '三級', '師面試', '500', '萬台幣', '年薪', '工程']"
FTX受害者必讀》10年交易所維權經驗的Tom告訴你：該自己請律師？要等多久？Steaker疑點？,"['FTX', '必讀', '維權', '經驗', 'Tom', '告訴', '請律師', 'Steaker', '疑點', '受害者', '多久', '自己']"
富爸爸預言全中！瑞信被收購、黃金突破2000鎂…再砲轟聯準會「通膨大騙子」,"['預言', '全中', '瑞信', '收購', '2000', '轟聯', '準會', '騙子', '膨大', '爸爸', '突破']"
重磅》Do Kwon在南歐黑山被逮捕！10個月逃亡告終,"['Do', 'Kwon', '南歐', '告終', '重磅', '黑山', '逃亡', '逮捕']"
快訊》Arbitrum啟動空投！$ARB最高衝上14.8鎂，但用戶申領「塞爆當機」,"['快訊', 'Arbitrum', '啟動', 'ARB', '衝上', '14.8', '申領', '塞爆', '當機', '最高']"
交易所｜Bybit宣佈上線Arbitrum (ARB)代幣，40萬美元獎池待瓜分,"['Bybit', '上線', 'Arbitrum', 'ARB', '代幣', '40', '獎池', '瓜分']"
